method: org.apache.fop.layoutmgr.inline.LineLayoutManager$LineBreakingAlgorithm.updateData2:1153650079
textDiff(1257751576) -> textDiff(731479004) 
$r0(1257751576) -> $r0(731479004) 
$r1(1257751576) -> $r1(731479004) 
$r3(1257751576) -> $r3(731479004) 
$r4(1257751576) -> $r4(731479004) 
$r5(1257751576) -> $r5(731479004) 
$r6(1257751576) -> $r6(731479004) 
$r7(1257751576) -> $r7(731479004) 
$r8(1257751576) -> $r8(731479004) 
$r9(1257751576) -> $r9(731479004) 
$r10(1257751576) -> $r10(731479004) 
$r11(1257751576) -> $r11(731479004) 
$r14(1257751576) -> $r14(731479004) 
$r15(1257751576) -> $r15(731479004) 
$r16(1257751576) -> $r16(731479004) 
$r17(1257751576) -> $r17(731479004) 
$r18(1257751576) -> $r18(731479004) 
$r19(1257751576) -> $r19(731479004) 
0(731479004) -> 0(1771224800) 
this(731479004) -> this(1771224800) 
bestActiveNode(731479004) -> bestActiveNode(1771224800) 
par(731479004) -> par(1771224800) 
textDiff(731479004) -> textDiff(1771224800) 
$r0(731479004) -> $r0(1771224800) 
$r1(731479004) -> $r1(1771224800) 
$r3(731479004) -> $r3(1771224800) 
$r4(731479004) -> $r4(1771224800) 
$r5(731479004) -> $r5(1771224800) 
$r6(731479004) -> $r6(1771224800) 
$r7(731479004) -> $r7(1771224800) 
$r8(731479004) -> $r8(1771224800) 
$r9(731479004) -> $r9(1771224800) 
$r10(731479004) -> $r10(1771224800) 
$r11(731479004) -> $r11(1771224800) 
$r14(731479004) -> $r14(1771224800) 
$r15(731479004) -> $r15(1771224800) 
$r16(731479004) -> $r16(1771224800) 
$r17(731479004) -> $r17(1771224800) 
$r18(731479004) -> $r18(1771224800) 
$r19(731479004) -> $r19(1771224800) 
0(1771224800) -> 0(-1771224800) 
this(1771224800) -> this(-1771224800) 
bestActiveNode(1771224800) -> bestActiveNode(-1771224800) 
par(1771224800) -> par(-1771224800) 
textDiff(1771224800) -> textDiff(-1771224800) 
$r0(1771224800) -> $r0(-1771224800) 
$r1(1771224800) -> $r1(-1771224800) 
$r3(1771224800) -> $r3(-1771224800) 
$r4(1771224800) -> $r4(-1771224800) 
$r5(1771224800) -> $r5(-1771224800) 
$r6(1771224800) -> $r6(-1771224800) 
$r7(1771224800) -> $r7(-1771224800) 
$r8(1771224800) -> $r8(-1771224800) 
$r9(1771224800) -> $r9(-1771224800) 
$r10(1771224800) -> $r10(-1771224800) 
$r11(1771224800) -> $r11(-1771224800) 
$r14(1771224800) -> $r14(-1771224800) 
$r15(1771224800) -> $r15(-1771224800) 
$r16(1771224800) -> $r16(-1771224800) 
$r17(1771224800) -> $r17(-1771224800) 
$r18(1771224800) -> $r18(-1771224800) 
$r19(1771224800) -> $r19(-1771224800) 
0(-1771224800) -> 0(556898886) 
this(-1771224800) -> this(556898886) 
bestActiveNode(-1771224800) -> bestActiveNode(556898886) 
par(-1771224800) -> par(556898886) 
textDiff(-1771224800) -> textDiff(556898886) 
$r0(-1771224800) -> $r0(556898886) 
$r1(-1771224800) -> $r1(556898886) 
$r3(-1771224800) -> $r3(556898886) 
$r4(-1771224800) -> $r4(556898886) 
$r5(-1771224800) -> $r5(556898886) 
$r6(-1771224800) -> $r6(556898886) 
$r7(-1771224800) -> $r7(556898886) 
$r8(-1771224800) -> $r8(556898886) 
$r9(-1771224800) -> $r9(556898886) 
$r10(-1771224800) -> $r10(556898886) 
$r11(-1771224800) -> $r11(556898886) 
$r14(-1771224800) -> $r14(556898886) 
$r15(-1771224800) -> $r15(556898886) 
$r16(-1771224800) -> $r16(556898886) 
$r17(-1771224800) -> $r17(556898886) 
$r18(-1771224800) -> $r18(556898886) 
$r19(-1771224800) -> $r19(556898886) 
0(556898886) -> 0(1142293679) 
this(556898886) -> this(1142293679) 
bestActiveNode(556898886) -> bestActiveNode(1142293679) 
par(556898886) -> par(1142293679) 
textDiff(556898886) -> textDiff(1142293679) 
$r0(556898886) -> $r0(1142293679) 
$r1(556898886) -> $r1(1142293679) 
$r3(556898886) -> $r3(1142293679) 
$r4(556898886) -> $r4(1142293679) 
$r5(556898886) -> $r5(1142293679) 
$r6(556898886) -> $r6(1142293679) 
$r7(556898886) -> $r7(1142293679) 
$r8(556898886) -> $r8(1142293679) 
$r9(556898886) -> $r9(1142293679) 
$r10(556898886) -> $r10(1142293679) 
$r11(556898886) -> $r11(1142293679) 
$r14(556898886) -> $r14(1142293679) 
$r15(556898886) -> $r15(1142293679) 
$r16(556898886) -> $r16(1142293679) 
$r17(556898886) -> $r17(1142293679) 
$r18(556898886) -> $r18(1142293679) 
$r19(556898886) -> $r19(1142293679) 
0(556898886) -> 0(1468520805) 
this(556898886) -> this(1468520805) 
bestActiveNode(556898886) -> bestActiveNode(1468520805) 
par(556898886) -> par(1468520805) 
textDiff(556898886) -> textDiff(1468520805) 
$r0(556898886) -> $r0(1468520805) 
$r1(556898886) -> $r1(1468520805) 
$r3(556898886) -> $r3(1468520805) 
$r4(556898886) -> $r4(1468520805) 
$r5(556898886) -> $r5(1468520805) 
$r6(556898886) -> $r6(1468520805) 
$r7(556898886) -> $r7(1468520805) 
$r8(556898886) -> $r8(1468520805) 
$r9(556898886) -> $r9(1468520805) 
$r10(556898886) -> $r10(1468520805) 
$r11(556898886) -> $r11(1468520805) 
$r14(556898886) -> $r14(1468520805) 
$r15(556898886) -> $r15(1468520805) 
$r16(556898886) -> $r16(1468520805) 
$r17(556898886) -> $r17(1468520805) 
$r18(556898886) -> $r18(1468520805) 
$r19(556898886) -> $r19(1468520805) 
0(1468520805) -> 0(399614664) 
this(1468520805) -> this(399614664) 
bestActiveNode(1468520805) -> bestActiveNode(399614664) 
par(1468520805) -> par(399614664) 
textDiff(1468520805) -> textDiff(399614664) 
$r0(1468520805) -> $r0(399614664) 
$r1(1468520805) -> $r1(399614664) 
$r3(1468520805) -> $r3(399614664) 
$r4(1468520805) -> $r4(399614664) 
$r5(1468520805) -> $r5(399614664) 
$r6(1468520805) -> $r6(399614664) 
$r7(1468520805) -> $r7(399614664) 
$r8(1468520805) -> $r8(399614664) 
$r9(1468520805) -> $r9(399614664) 
$r10(1468520805) -> $r10(399614664) 
$r11(1468520805) -> $r11(399614664) 
$r14(1468520805) -> $r14(399614664) 
$r15(1468520805) -> $r15(399614664) 
$r16(1468520805) -> $r16(399614664) 
$r17(1468520805) -> $r17(399614664) 
$r18(1468520805) -> $r18(399614664) 
$r19(1468520805) -> $r19(399614664) 
0(399614664) -> 0(2030617470) 
this(399614664) -> this(2030617470) 
bestActiveNode(399614664) -> bestActiveNode(2030617470) 
par(399614664) -> par(2030617470) 
textDiff(399614664) -> textDiff(2030617470) 
$r0(399614664) -> $r0(2030617470) 
$r1(399614664) -> $r1(2030617470) 
$r3(399614664) -> $r3(2030617470) 
$r4(399614664) -> $r4(2030617470) 
$r5(399614664) -> $r5(2030617470) 
$r6(399614664) -> $r6(2030617470) 
$r7(399614664) -> $r7(2030617470) 
$r8(399614664) -> $r8(2030617470) 
$r9(399614664) -> $r9(2030617470) 
$r10(399614664) -> $r10(2030617470) 
$r11(399614664) -> $r11(2030617470) 
$r14(399614664) -> $r14(2030617470) 
$r15(399614664) -> $r15(2030617470) 
$r16(399614664) -> $r16(2030617470) 
$r17(399614664) -> $r17(2030617470) 
$r18(399614664) -> $r18(2030617470) 
$r19(399614664) -> $r19(2030617470) 
0(1142293679) -> 0(2030617470) 
this(1142293679) -> this(2030617470) 
bestActiveNode(1142293679) -> bestActiveNode(2030617470) 
par(1142293679) -> par(2030617470) 
textDiff(1142293679) -> textDiff(2030617470) 
$r0(1142293679) -> $r0(2030617470) 
$r1(1142293679) -> $r1(2030617470) 
$r3(1142293679) -> $r3(2030617470) 
$r4(1142293679) -> $r4(2030617470) 
$r5(1142293679) -> $r5(2030617470) 
$r6(1142293679) -> $r6(2030617470) 
$r7(1142293679) -> $r7(2030617470) 
$r8(1142293679) -> $r8(2030617470) 
$r9(1142293679) -> $r9(2030617470) 
$r10(1142293679) -> $r10(2030617470) 
$r11(1142293679) -> $r11(2030617470) 
$r14(1142293679) -> $r14(2030617470) 
$r15(1142293679) -> $r15(2030617470) 
$r16(1142293679) -> $r16(2030617470) 
$r17(1142293679) -> $r17(2030617470) 
$r18(1142293679) -> $r18(2030617470) 
$r19(1142293679) -> $r19(2030617470) 
0(2030617470) -> 0(1447861861) 
this(2030617470) -> this(1447861861) 
bestActiveNode(2030617470) -> bestActiveNode(1447861861) 
par(2030617470) -> par(1447861861) 
textDiff(2030617470) -> textDiff(1447861861) 
$r0(2030617470) -> $r0(1447861861) 
$r1(2030617470) -> $r1(1447861861) 
$r3(2030617470) -> $r3(1447861861) 
$r4(2030617470) -> $r4(1447861861) 
$r5(2030617470) -> $r5(1447861861) 
$r6(2030617470) -> $r6(1447861861) 
$r7(2030617470) -> $r7(1447861861) 
$r8(2030617470) -> $r8(1447861861) 
$r9(2030617470) -> $r9(1447861861) 
$r10(2030617470) -> $r10(1447861861) 
$r11(2030617470) -> $r11(1447861861) 
$r14(2030617470) -> $r14(1447861861) 
$r15(2030617470) -> $r15(1447861861) 
$r16(2030617470) -> $r16(1447861861) 
$r17(2030617470) -> $r17(1447861861) 
$r18(2030617470) -> $r18(1447861861) 
$r19(2030617470) -> $r19(1447861861) 
0(1447861861) -> 0(698380077) 
this(1447861861) -> this(698380077) 
bestActiveNode(1447861861) -> bestActiveNode(698380077) 
par(1447861861) -> par(698380077) 
textDiff(1447861861) -> textDiff(698380077) 
$r0(1447861861) -> $r0(698380077) 
$r1(1447861861) -> $r1(698380077) 
$r3(1447861861) -> $r3(698380077) 
$r4(1447861861) -> $r4(698380077) 
$r5(1447861861) -> $r5(698380077) 
$r6(1447861861) -> $r6(698380077) 
$r7(1447861861) -> $r7(698380077) 
$r8(1447861861) -> $r8(698380077) 
$r9(1447861861) -> $r9(698380077) 
$r10(1447861861) -> $r10(698380077) 
$r11(1447861861) -> $r11(698380077) 
$r14(1447861861) -> $r14(698380077) 
$r15(1447861861) -> $r15(698380077) 
$r16(1447861861) -> $r16(698380077) 
$r17(1447861861) -> $r17(698380077) 
$r18(1447861861) -> $r18(698380077) 
$r19(1447861861) -> $r19(698380077) 
0(1447861861) -> 0(1573651127) 
this(1447861861) -> this(1573651127) 
bestActiveNode(1447861861) -> bestActiveNode(1573651127) 
par(1447861861) -> par(1573651127) 
textDiff(1447861861) -> textDiff(1573651127) 
$r0(1447861861) -> $r0(1573651127) 
$r1(1447861861) -> $r1(1573651127) 
$r3(1447861861) -> $r3(1573651127) 
$r4(1447861861) -> $r4(1573651127) 
$r5(1447861861) -> $r5(1573651127) 
$r6(1447861861) -> $r6(1573651127) 
$r7(1447861861) -> $r7(1573651127) 
$r8(1447861861) -> $r8(1573651127) 
$r9(1447861861) -> $r9(1573651127) 
$r10(1447861861) -> $r10(1573651127) 
$r11(1447861861) -> $r11(1573651127) 
$r14(1447861861) -> $r14(1573651127) 
$r15(1447861861) -> $r15(1573651127) 
$r16(1447861861) -> $r16(1573651127) 
$r17(1447861861) -> $r17(1573651127) 
$r18(1447861861) -> $r18(1573651127) 
$r19(1447861861) -> $r19(1573651127) 
0(1573651127) -> 0(1313903783) 
this(1573651127) -> this(1313903783) 
bestActiveNode(1573651127) -> bestActiveNode(1313903783) 
par(1573651127) -> par(1313903783) 
textDiff(1573651127) -> textDiff(1313903783) 
$r0(1573651127) -> $r0(1313903783) 
$r1(1573651127) -> $r1(1313903783) 
$r3(1573651127) -> $r3(1313903783) 
$r4(1573651127) -> $r4(1313903783) 
$r5(1573651127) -> $r5(1313903783) 
$r6(1573651127) -> $r6(1313903783) 
$r7(1573651127) -> $r7(1313903783) 
$r8(1573651127) -> $r8(1313903783) 
$r9(1573651127) -> $r9(1313903783) 
$r10(1573651127) -> $r10(1313903783) 
$r11(1573651127) -> $r11(1313903783) 
$r14(1573651127) -> $r14(1313903783) 
$r15(1573651127) -> $r15(1313903783) 
$r16(1573651127) -> $r16(1313903783) 
$r17(1573651127) -> $r17(1313903783) 
$r18(1573651127) -> $r18(1313903783) 
$r19(1573651127) -> $r19(1313903783) 
0(1573651127) -> 0(1190953187) 
this(1573651127) -> this(1190953187) 
bestActiveNode(1573651127) -> bestActiveNode(1190953187) 
par(1573651127) -> par(1190953187) 
textDiff(1573651127) -> textDiff(1190953187) 
$r0(1573651127) -> $r0(1190953187) 
$r1(1573651127) -> $r1(1190953187) 
$r3(1573651127) -> $r3(1190953187) 
$r4(1573651127) -> $r4(1190953187) 
$r5(1573651127) -> $r5(1190953187) 
$r6(1573651127) -> $r6(1190953187) 
$r7(1573651127) -> $r7(1190953187) 
$r8(1573651127) -> $r8(1190953187) 
$r9(1573651127) -> $r9(1190953187) 
$r10(1573651127) -> $r10(1190953187) 
$r11(1573651127) -> $r11(1190953187) 
$r14(1573651127) -> $r14(1190953187) 
$r15(1573651127) -> $r15(1190953187) 
$r16(1573651127) -> $r16(1190953187) 
$r17(1573651127) -> $r17(1190953187) 
$r18(1573651127) -> $r18(1190953187) 
$r19(1573651127) -> $r19(1190953187) 
0(1190953187) -> 0(74407) 
this(1190953187) -> this(74407) 
bestActiveNode(1190953187) -> bestActiveNode(74407) 
par(1190953187) -> par(74407) 
textDiff(1190953187) -> textDiff(74407) 
$r0(1190953187) -> $r0(74407) 
$r1(1190953187) -> $r1(74407) 
$r3(1190953187) -> $r3(74407) 
$r4(1190953187) -> $r4(74407) 
$r5(1190953187) -> $r5(74407) 
$r6(1190953187) -> $r6(74407) 
$r7(1190953187) -> $r7(74407) 
$r8(1190953187) -> $r8(74407) 
$r9(1190953187) -> $r9(74407) 
$r10(1190953187) -> $r10(74407) 
$r11(1190953187) -> $r11(74407) 
$r14(1190953187) -> $r14(74407) 
$r15(1190953187) -> $r15(74407) 
$r16(1190953187) -> $r16(74407) 
$r17(1190953187) -> $r17(74407) 
$r18(1190953187) -> $r18(74407) 
$r19(1190953187) -> $r19(74407) 
0(74407) -> 0(1250558449) 
this(74407) -> this(1250558449) 
bestActiveNode(74407) -> bestActiveNode(1250558449) 
par(74407) -> par(1250558449) 
textDiff(74407) -> textDiff(1250558449) 
$r0(74407) -> $r0(1250558449) 
$r1(74407) -> $r1(1250558449) 
$r3(74407) -> $r3(1250558449) 
$r4(74407) -> $r4(1250558449) 
$r5(74407) -> $r5(1250558449) 
$r6(74407) -> $r6(1250558449) 
$r7(74407) -> $r7(1250558449) 
$r8(74407) -> $r8(1250558449) 
$r9(74407) -> $r9(1250558449) 
$r10(74407) -> $r10(1250558449) 
$r11(74407) -> $r11(1250558449) 
$r14(74407) -> $r14(1250558449) 
$r15(74407) -> $r15(1250558449) 
$r16(74407) -> $r16(1250558449) 
$r17(74407) -> $r17(1250558449) 
$r18(74407) -> $r18(1250558449) 
$r19(74407) -> $r19(1250558449) 
0(1250558449) -> 0(1313903783) 
this(1250558449) -> this(1313903783) 
bestActiveNode(1250558449) -> bestActiveNode(1313903783) 
par(1250558449) -> par(1313903783) 
textDiff(1250558449) -> textDiff(1313903783) 
$r0(1250558449) -> $r0(1313903783) 
$r1(1250558449) -> $r1(1313903783) 
$r3(1250558449) -> $r3(1313903783) 
$r4(1250558449) -> $r4(1313903783) 
$r5(1250558449) -> $r5(1313903783) 
$r6(1250558449) -> $r6(1313903783) 
$r7(1250558449) -> $r7(1313903783) 
$r8(1250558449) -> $r8(1313903783) 
$r9(1250558449) -> $r9(1313903783) 
$r10(1250558449) -> $r10(1313903783) 
$r11(1250558449) -> $r11(1313903783) 
$r14(1250558449) -> $r14(1313903783) 
$r15(1250558449) -> $r15(1313903783) 
$r16(1250558449) -> $r16(1313903783) 
$r17(1250558449) -> $r17(1313903783) 
$r18(1250558449) -> $r18(1313903783) 
$r19(1250558449) -> $r19(1313903783) 
0(1250558449) -> 0(698380077) 
this(1250558449) -> this(698380077) 
bestActiveNode(1250558449) -> bestActiveNode(698380077) 
par(1250558449) -> par(698380077) 
textDiff(1250558449) -> textDiff(698380077) 
$r0(1250558449) -> $r0(698380077) 
$r1(1250558449) -> $r1(698380077) 
$r3(1250558449) -> $r3(698380077) 
$r4(1250558449) -> $r4(698380077) 
$r5(1250558449) -> $r5(698380077) 
$r6(1250558449) -> $r6(698380077) 
$r7(1250558449) -> $r7(698380077) 
$r8(1250558449) -> $r8(698380077) 
$r9(1250558449) -> $r9(698380077) 
$r10(1250558449) -> $r10(698380077) 
$r11(1250558449) -> $r11(698380077) 
$r14(1250558449) -> $r14(698380077) 
$r15(1250558449) -> $r15(698380077) 
$r16(1250558449) -> $r16(698380077) 
$r17(1250558449) -> $r17(698380077) 
$r18(1250558449) -> $r18(698380077) 
$r19(1250558449) -> $r19(698380077) 
0(698380077) -> 0(1675823284) 
this(698380077) -> this(1675823284) 
bestActiveNode(698380077) -> bestActiveNode(1675823284) 
par(698380077) -> par(1675823284) 
textDiff(698380077) -> textDiff(1675823284) 
$r0(698380077) -> $r0(1675823284) 
$r1(698380077) -> $r1(1675823284) 
$r3(698380077) -> $r3(1675823284) 
$r4(698380077) -> $r4(1675823284) 
$r5(698380077) -> $r5(1675823284) 
$r6(698380077) -> $r6(1675823284) 
$r7(698380077) -> $r7(1675823284) 
$r8(698380077) -> $r8(1675823284) 
$r9(698380077) -> $r9(1675823284) 
$r10(698380077) -> $r10(1675823284) 
$r11(698380077) -> $r11(1675823284) 
$r14(698380077) -> $r14(1675823284) 
$r15(698380077) -> $r15(1675823284) 
$r16(698380077) -> $r16(1675823284) 
$r17(698380077) -> $r17(1675823284) 
$r18(698380077) -> $r18(1675823284) 
$r19(698380077) -> $r19(1675823284) 
0(1675823284) -> 0(206538780) 
this(1675823284) -> this(206538780) 
bestActiveNode(1675823284) -> bestActiveNode(206538780) 
par(1675823284) -> par(206538780) 
textDiff(1675823284) -> textDiff(206538780) 
$r0(1675823284) -> $r0(206538780) 
$r1(1675823284) -> $r1(206538780) 
$r3(1675823284) -> $r3(206538780) 
$r4(1675823284) -> $r4(206538780) 
$r5(1675823284) -> $r5(206538780) 
$r6(1675823284) -> $r6(206538780) 
$r7(1675823284) -> $r7(206538780) 
$r8(1675823284) -> $r8(206538780) 
$r9(1675823284) -> $r9(206538780) 
$r10(1675823284) -> $r10(206538780) 
$r11(1675823284) -> $r11(206538780) 
$r14(1675823284) -> $r14(206538780) 
$r15(1675823284) -> $r15(206538780) 
$r16(1675823284) -> $r16(206538780) 
$r17(1675823284) -> $r17(206538780) 
$r18(1675823284) -> $r18(206538780) 
$r19(1675823284) -> $r19(206538780) 
0(1313903783) -> 0(206538780) 
this(1313903783) -> this(206538780) 
bestActiveNode(1313903783) -> bestActiveNode(206538780) 
par(1313903783) -> par(206538780) 
textDiff(1313903783) -> textDiff(206538780) 
$r0(1313903783) -> $r0(206538780) 
$r1(1313903783) -> $r1(206538780) 
$r3(1313903783) -> $r3(206538780) 
$r4(1313903783) -> $r4(206538780) 
$r5(1313903783) -> $r5(206538780) 
$r6(1313903783) -> $r6(206538780) 
$r7(1313903783) -> $r7(206538780) 
$r8(1313903783) -> $r8(206538780) 
$r9(1313903783) -> $r9(206538780) 
$r10(1313903783) -> $r10(206538780) 
$r11(1313903783) -> $r11(206538780) 
$r14(1313903783) -> $r14(206538780) 
$r15(1313903783) -> $r15(206538780) 
$r16(1313903783) -> $r16(206538780) 
$r17(1313903783) -> $r17(206538780) 
$r18(1313903783) -> $r18(206538780) 
$r19(1313903783) -> $r19(206538780) 
0(206538780) -> 0(616302082) 
this(206538780) -> this(616302082) 
bestActiveNode(206538780) -> bestActiveNode(616302082) 
par(206538780) -> par(616302082) 
textDiff(206538780) -> textDiff(616302082) 
$r0(206538780) -> $r0(616302082) 
$r1(206538780) -> $r1(616302082) 
$r3(206538780) -> $r3(616302082) 
$r4(206538780) -> $r4(616302082) 
$r5(206538780) -> $r5(616302082) 
$r6(206538780) -> $r6(616302082) 
$r7(206538780) -> $r7(616302082) 
$r8(206538780) -> $r8(616302082) 
$r9(206538780) -> $r9(616302082) 
$r10(206538780) -> $r10(616302082) 
$r11(206538780) -> $r11(616302082) 
$r14(206538780) -> $r14(616302082) 
$r15(206538780) -> $r15(616302082) 
$r16(206538780) -> $r16(616302082) 
$r17(206538780) -> $r17(616302082) 
$r18(206538780) -> $r18(616302082) 
$r19(206538780) -> $r19(616302082) 
0(616302082) -> 0(1491015654) 
this(616302082) -> this(1491015654) 
bestActiveNode(616302082) -> bestActiveNode(1491015654) 
par(616302082) -> par(1491015654) 
textDiff(616302082) -> textDiff(1491015654) 
$r0(616302082) -> $r0(1491015654) 
$r1(616302082) -> $r1(1491015654) 
$r3(616302082) -> $r3(1491015654) 
$r4(616302082) -> $r4(1491015654) 
$r5(616302082) -> $r5(1491015654) 
$r6(616302082) -> $r6(1491015654) 
$r7(616302082) -> $r7(1491015654) 
$r8(616302082) -> $r8(1491015654) 
$r9(616302082) -> $r9(1491015654) 
$r10(616302082) -> $r10(1491015654) 
$r11(616302082) -> $r11(1491015654) 
$r14(616302082) -> $r14(1491015654) 
$r15(616302082) -> $r15(1491015654) 
$r16(616302082) -> $r16(1491015654) 
$r17(616302082) -> $r17(1491015654) 
$r18(616302082) -> $r18(1491015654) 
$r19(616302082) -> $r19(1491015654) 
0(1491015654) -> 0(1715713619) 
this(1491015654) -> this(1715713619) 
bestActiveNode(1491015654) -> bestActiveNode(1715713619) 
par(1491015654) -> par(1715713619) 
textDiff(1491015654) -> textDiff(1715713619) 
$r0(1491015654) -> $r0(1715713619) 
$r1(1491015654) -> $r1(1715713619) 
$r3(1491015654) -> $r3(1715713619) 
$r4(1491015654) -> $r4(1715713619) 
$r5(1491015654) -> $r5(1715713619) 
$r6(1491015654) -> $r6(1715713619) 
$r7(1491015654) -> $r7(1715713619) 
$r8(1491015654) -> $r8(1715713619) 
$r9(1491015654) -> $r9(1715713619) 
$r10(1491015654) -> $r10(1715713619) 
$r11(1491015654) -> $r11(1715713619) 
$r14(1491015654) -> $r14(1715713619) 
$r15(1491015654) -> $r15(1715713619) 
$r16(1491015654) -> $r16(1715713619) 
$r17(1491015654) -> $r17(1715713619) 
$r18(1491015654) -> $r18(1715713619) 
$r19(1491015654) -> $r19(1715713619) 
0(1491015654) -> 0(1371185881) 
this(1491015654) -> this(1371185881) 
bestActiveNode(1491015654) -> bestActiveNode(1371185881) 
par(1491015654) -> par(1371185881) 
textDiff(1491015654) -> textDiff(1371185881) 
$r0(1491015654) -> $r0(1371185881) 
$r1(1491015654) -> $r1(1371185881) 
$r3(1491015654) -> $r3(1371185881) 
$r4(1491015654) -> $r4(1371185881) 
$r5(1491015654) -> $r5(1371185881) 
$r6(1491015654) -> $r6(1371185881) 
$r7(1491015654) -> $r7(1371185881) 
$r8(1491015654) -> $r8(1371185881) 
$r9(1491015654) -> $r9(1371185881) 
$r10(1491015654) -> $r10(1371185881) 
$r11(1491015654) -> $r11(1371185881) 
$r14(1491015654) -> $r14(1371185881) 
$r15(1491015654) -> $r15(1371185881) 
$r16(1491015654) -> $r16(1371185881) 
$r17(1491015654) -> $r17(1371185881) 
$r18(1491015654) -> $r18(1371185881) 
$r19(1491015654) -> $r19(1371185881) 
0(1371185881) -> 0(863901510) 
this(1371185881) -> this(863901510) 
bestActiveNode(1371185881) -> bestActiveNode(863901510) 
par(1371185881) -> par(863901510) 
textDiff(1371185881) -> textDiff(863901510) 
$r0(1371185881) -> $r0(863901510) 
$r1(1371185881) -> $r1(863901510) 
$r3(1371185881) -> $r3(863901510) 
$r4(1371185881) -> $r4(863901510) 
$r5(1371185881) -> $r5(863901510) 
$r6(1371185881) -> $r6(863901510) 
$r7(1371185881) -> $r7(863901510) 
$r8(1371185881) -> $r8(863901510) 
$r9(1371185881) -> $r9(863901510) 
$r10(1371185881) -> $r10(863901510) 
$r11(1371185881) -> $r11(863901510) 
$r14(1371185881) -> $r14(863901510) 
$r15(1371185881) -> $r15(863901510) 
$r16(1371185881) -> $r16(863901510) 
$r17(1371185881) -> $r17(863901510) 
$r18(1371185881) -> $r18(863901510) 
$r19(1371185881) -> $r19(863901510) 
0(863901510) -> 0(1715713619) 
this(863901510) -> this(1715713619) 
bestActiveNode(863901510) -> bestActiveNode(1715713619) 
par(863901510) -> par(1715713619) 
textDiff(863901510) -> textDiff(1715713619) 
$r0(863901510) -> $r0(1715713619) 
$r1(863901510) -> $r1(1715713619) 
$r3(863901510) -> $r3(1715713619) 
$r4(863901510) -> $r4(1715713619) 
$r5(863901510) -> $r5(1715713619) 
$r6(863901510) -> $r6(1715713619) 
$r7(863901510) -> $r7(1715713619) 
$r8(863901510) -> $r8(1715713619) 
$r9(863901510) -> $r9(1715713619) 
$r10(863901510) -> $r10(1715713619) 
$r11(863901510) -> $r11(1715713619) 
$r14(863901510) -> $r14(1715713619) 
$r15(863901510) -> $r15(1715713619) 
$r16(863901510) -> $r16(1715713619) 
$r17(863901510) -> $r17(1715713619) 
$r18(863901510) -> $r18(1715713619) 
$r19(863901510) -> $r19(1715713619) 
0(1715713619) -> 0(1138954553) 
this(1715713619) -> this(1138954553) 
bestActiveNode(1715713619) -> bestActiveNode(1138954553) 
par(1715713619) -> par(1138954553) 
textDiff(1715713619) -> textDiff(1138954553) 
$r0(1715713619) -> $r0(1138954553) 
$r1(1715713619) -> $r1(1138954553) 
$r3(1715713619) -> $r3(1138954553) 
$r4(1715713619) -> $r4(1138954553) 
$r5(1715713619) -> $r5(1138954553) 
$r6(1715713619) -> $r6(1138954553) 
$r7(1715713619) -> $r7(1138954553) 
$r8(1715713619) -> $r8(1138954553) 
$r9(1715713619) -> $r9(1138954553) 
$r10(1715713619) -> $r10(1138954553) 
$r11(1715713619) -> $r11(1138954553) 
$r14(1715713619) -> $r14(1138954553) 
$r15(1715713619) -> $r15(1138954553) 
$r16(1715713619) -> $r16(1138954553) 
$r17(1715713619) -> $r17(1138954553) 
$r18(1715713619) -> $r18(1138954553) 
$r19(1715713619) -> $r19(1138954553) 
0(1138954553) -> 0(1887426560) 
this(1138954553) -> this(1887426560) 
bestActiveNode(1138954553) -> bestActiveNode(1887426560) 
par(1138954553) -> par(1887426560) 
textDiff(1138954553) -> textDiff(1887426560) 
$r0(1138954553) -> $r0(1887426560) 
$r1(1138954553) -> $r1(1887426560) 
$r3(1138954553) -> $r3(1887426560) 
$r4(1138954553) -> $r4(1887426560) 
$r5(1138954553) -> $r5(1887426560) 
$r6(1138954553) -> $r6(1887426560) 
$r7(1138954553) -> $r7(1887426560) 
$r8(1138954553) -> $r8(1887426560) 
$r9(1138954553) -> $r9(1887426560) 
$r10(1138954553) -> $r10(1887426560) 
$r11(1138954553) -> $r11(1887426560) 
$r14(1138954553) -> $r14(1887426560) 
$r15(1138954553) -> $r15(1887426560) 
$r16(1138954553) -> $r16(1887426560) 
$r17(1138954553) -> $r17(1887426560) 
$r18(1138954553) -> $r18(1887426560) 
$r19(1138954553) -> $r19(1887426560) 
0(1887426560) -> 0(-1887426560) 
this(1887426560) -> this(-1887426560) 
bestActiveNode(1887426560) -> bestActiveNode(-1887426560) 
par(1887426560) -> par(-1887426560) 
textDiff(1887426560) -> textDiff(-1887426560) 
$r0(1887426560) -> $r0(-1887426560) 
$r3(1887426560) -> $r3(-1887426560) 
$r4(1887426560) -> $r4(-1887426560) 
$r5(1887426560) -> $r5(-1887426560) 
$r6(1887426560) -> $r6(-1887426560) 
$r7(1887426560) -> $r7(-1887426560) 
$r8(1887426560) -> $r8(-1887426560) 
$r9(1887426560) -> $r9(-1887426560) 
$r10(1887426560) -> $r10(-1887426560) 
$r11(1887426560) -> $r11(-1887426560) 
$r14(1887426560) -> $r14(-1887426560) 
$r15(1887426560) -> $r15(-1887426560) 
$r16(1887426560) -> $r16(-1887426560) 
$r17(1887426560) -> $r17(-1887426560) 
