method: org.apache.fop.render.java2d.Java2DGraphics2DAdapter.paintImage:285286959
area(-23174489) -> area(52416074) 
$r0(-23174489) -> $r0(52416074) 
$r1(-23174489) -> $r1(52416074) 
$r2(-23174489) -> $r2(52416074) 
$r3(-23174489) -> $r3(52416074) 
$r4(-23174489) -> $r4(52416074) 
0(52416074) -> 0(-52416074) 
this(52416074) -> this(-52416074) 
painter(52416074) -> painter(-52416074) 
context(52416074) -> context(-52416074) 
dim(52416074) -> dim(-52416074) 
renderer(52416074) -> renderer(-52416074) 
state(52416074) -> state(-52416074) 
g2d(52416074) -> g2d(-52416074) 
at(52416074) -> at(-52416074) 
area(52416074) -> area(-52416074) 
$r0(52416074) -> $r0(-52416074) 
$r1(52416074) -> $r1(-52416074) 
$r2(52416074) -> $r2(-52416074) 
$r3(52416074) -> $r3(-52416074) 
$r4(52416074) -> $r4(-52416074) 
0(-52416074) -> 0(488660448) 
this(-52416074) -> this(488660448) 
painter(-52416074) -> painter(488660448) 
context(-52416074) -> context(488660448) 
dim(-52416074) -> dim(488660448) 
renderer(-52416074) -> renderer(488660448) 
state(-52416074) -> state(488660448) 
g2d(-52416074) -> g2d(488660448) 
at(-52416074) -> at(488660448) 
area(-52416074) -> area(488660448) 
$r0(-52416074) -> $r0(488660448) 
$r1(-52416074) -> $r1(488660448) 
$r2(-52416074) -> $r2(488660448) 
$r3(-52416074) -> $r3(488660448) 
$r4(-52416074) -> $r4(488660448) 
0(488660448) -> 0(2020721618) 
this(488660448) -> this(2020721618) 
painter(488660448) -> painter(2020721618) 
context(488660448) -> context(2020721618) 
dim(488660448) -> dim(2020721618) 
renderer(488660448) -> renderer(2020721618) 
state(488660448) -> state(2020721618) 
g2d(488660448) -> g2d(2020721618) 
at(488660448) -> at(2020721618) 
area(488660448) -> area(2020721618) 
$r0(488660448) -> $r0(2020721618) 
$r1(488660448) -> $r1(2020721618) 
$r2(488660448) -> $r2(2020721618) 
$r3(488660448) -> $r3(2020721618) 
$r4(488660448) -> $r4(2020721618) 
0(488660448) -> 0(547628259) 
this(488660448) -> this(547628259) 
painter(488660448) -> painter(547628259) 
context(488660448) -> context(547628259) 
dim(488660448) -> dim(547628259) 
renderer(488660448) -> renderer(547628259) 
state(488660448) -> state(547628259) 
g2d(488660448) -> g2d(547628259) 
at(488660448) -> at(547628259) 
area(488660448) -> area(547628259) 
$r0(488660448) -> $r0(547628259) 
$r1(488660448) -> $r1(547628259) 
$r2(488660448) -> $r2(547628259) 
$r3(488660448) -> $r3(547628259) 
$r4(488660448) -> $r4(547628259) 
0(547628259) -> 0(2020721618) 
this(547628259) -> this(2020721618) 
painter(547628259) -> painter(2020721618) 
context(547628259) -> context(2020721618) 
dim(547628259) -> dim(2020721618) 
renderer(547628259) -> renderer(2020721618) 
state(547628259) -> state(2020721618) 
g2d(547628259) -> g2d(2020721618) 
at(547628259) -> at(2020721618) 
area(547628259) -> area(2020721618) 
$r0(547628259) -> $r0(2020721618) 
$r1(547628259) -> $r1(2020721618) 
$r2(547628259) -> $r2(2020721618) 
$r3(547628259) -> $r3(2020721618) 
$r4(547628259) -> $r4(2020721618) 
0(2020721618) -> 0(1951462) 
this(2020721618) -> this(1951462) 
painter(2020721618) -> painter(1951462) 
context(2020721618) -> context(1951462) 
dim(2020721618) -> dim(1951462) 
renderer(2020721618) -> renderer(1951462) 
state(2020721618) -> state(1951462) 
g2d(2020721618) -> g2d(1951462) 
at(2020721618) -> at(1951462) 
area(2020721618) -> area(1951462) 
$r0(2020721618) -> $r0(1951462) 
$r1(2020721618) -> $r1(1951462) 
$r2(2020721618) -> $r2(1951462) 
$r3(2020721618) -> $r3(1951462) 
0(1951462) -> 0(2137015608) 
this(1951462) -> this(2137015608) 
painter(1951462) -> painter(2137015608) 
context(1951462) -> context(2137015608) 
dim(1951462) -> dim(2137015608) 
renderer(1951462) -> renderer(2137015608) 
state(1951462) -> state(2137015608) 
g2d(1951462) -> g2d(2137015608) 
at(1951462) -> at(2137015608) 
area(1951462) -> area(2137015608) 
$r0(1951462) -> $r0(2137015608) 
$r1(1951462) -> $r1(2137015608) 
$r2(1951462) -> $r2(2137015608) 
$r3(1951462) -> $r3(2137015608) 
$r4(1951462) -> $r4(2137015608) 
0(2137015608) -> 0(157327581) 
this(2137015608) -> this(157327581) 
painter(2137015608) -> painter(157327581) 
context(2137015608) -> context(157327581) 
dim(2137015608) -> dim(157327581) 
renderer(2137015608) -> renderer(157327581) 
state(2137015608) -> state(157327581) 
g2d(2137015608) -> g2d(157327581) 
at(2137015608) -> at(157327581) 
area(2137015608) -> area(157327581) 
$r0(2137015608) -> $r0(157327581) 
$r1(2137015608) -> $r1(157327581) 
$r2(2137015608) -> $r2(157327581) 
$r3(2137015608) -> $r3(157327581) 
$r4(2137015608) -> $r4(157327581) 
0(157327581) -> 0(652284410) 
this(157327581) -> this(652284410) 
painter(157327581) -> painter(652284410) 
context(157327581) -> context(652284410) 
dim(157327581) -> dim(652284410) 
renderer(157327581) -> renderer(652284410) 
state(157327581) -> state(652284410) 
g2d(157327581) -> g2d(652284410) 
at(157327581) -> at(652284410) 
area(157327581) -> area(652284410) 
$r0(157327581) -> $r0(652284410) 
$r1(157327581) -> $r1(652284410) 
$r2(157327581) -> $r2(652284410) 
$r3(157327581) -> $r3(652284410) 
$r4(157327581) -> $r4(652284410) 
0(652284410) -> 0(1499178270) 
this(652284410) -> this(1499178270) 
painter(652284410) -> painter(1499178270) 
context(652284410) -> context(1499178270) 
dim(652284410) -> dim(1499178270) 
renderer(652284410) -> renderer(1499178270) 
state(652284410) -> state(1499178270) 
g2d(652284410) -> g2d(1499178270) 
at(652284410) -> at(1499178270) 
$r0(652284410) -> $r0(1499178270) 
$r1(652284410) -> $r1(1499178270) 
$r2(652284410) -> $r2(1499178270) 
$r3(652284410) -> $r3(1499178270) 
$r4(652284410) -> area(1499178270) 
$r4(652284410) -> $r4(1499178270) 
0(1499178270) -> 0(1434730559) 
this(1499178270) -> this(1434730559) 
painter(1499178270) -> painter(1434730559) 
context(1499178270) -> context(1434730559) 
dim(1499178270) -> dim(1434730559) 
renderer(1499178270) -> renderer(1434730559) 
state(1499178270) -> state(1434730559) 
g2d(1499178270) -> g2d(1434730559) 
at(1499178270) -> at(1434730559) 
area(1499178270) -> area(1434730559) 
$r0(1499178270) -> $r0(1434730559) 
$r1(1499178270) -> $r1(1434730559) 
$r2(1499178270) -> $r2(1434730559) 
$r3(1499178270) -> $r3(1434730559) 
$r4(1499178270) -> $r4(1434730559) 
0(1434730559) -> 0(1570116597) 
this(1434730559) -> this(1570116597) 
painter(1434730559) -> painter(1570116597) 
context(1434730559) -> context(1570116597) 
dim(1434730559) -> dim(1570116597) 
renderer(1434730559) -> renderer(1570116597) 
state(1434730559) -> state(1570116597) 
g2d(1434730559) -> g2d(1570116597) 
at(1434730559) -> at(1570116597) 
area(1434730559) -> area(1570116597) 
$r0(1434730559) -> $r0(1570116597) 
$r1(1434730559) -> $r1(1570116597) 
$r2(1434730559) -> $r2(1570116597) 
$r3(1434730559) -> $r3(1570116597) 
$r4(1434730559) -> $r4(1570116597) 
0(1570116597) -> 0(-285286959) 
this(1570116597) -> this(-285286959) 
painter(1570116597) -> painter(-285286959) 
context(1570116597) -> context(-285286959) 
dim(1570116597) -> dim(-285286959) 
renderer(1570116597) -> renderer(-285286959) 
state(1570116597) -> state(-285286959) 
g2d(1570116597) -> g2d(-285286959) 
at(1570116597) -> at(-285286959) 
area(1570116597) -> area(-285286959) 
$r0(1570116597) -> $r0(-285286959) 
$r1(1570116597) -> $r1(-285286959) 
$r2(1570116597) -> $r2(-285286959) 
$r3(1570116597) -> $r3(-285286959) 
$r4(1570116597) -> $r4(-285286959) 
0(1570116597) -> .return(-285286959) 
